id,data_inversa,ano,mes,uf,br,km,obra_duplicada,UPS,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude
260999,05/01/2020,2020,1,MG,381,213.3,sem obra,5,3,0,2,0,1,0,2,2,-1.925.509.297,-4.234.105.207
261019,05/01/2020,2020,1,MG,381,900.8,sem obra,5,8,0,1,0,7,0,1,2,-2.266.197.715,-4.608.921.986
261020,05/01/2020,2020,1,MG,381,723.7,sem obra,5,2,0,1,0,1,0,1,1,-21.484.833,-452.055
261065,05/01/2020,2020,1,MG,381,546.4,sem obra,5,1,0,1,0,0,0,1,1,-2.029.622.787,-4.443.842.914
261105,05/01/2020,2020,1,MG,381,442,sem obra,5,6,0,0,5,1,0,5,2,-1.980.956.823,-4.377.297.521
261113,06/01/2020,2020,1,MG,381,689.3,sem obra,5,2,0,1,0,1,0,1,1,-21.225.698,-45.130.486
261120,05/01/2020,2020,1,MG,381,159.8,sem obra,1,1,0,0,0,0,1,0,1,-1.892.455.594,-4.201.932.801
261124,05/01/2020,2020,1,MG,381,908.3,sem obra,5,2,0,1,0,0,1,1,2,-2.271.744.092,-4.612.652.111
261130,06/01/2020,2020,1,MG,381,486.6,sem obra,5,2,0,2,0,0,0,2,1,-1.995.644.414,-4.413.611.598
261140,06/01/2020,2020,1,MG,381,840,sem obra,5,2,0,0,2,0,0,2,1,-2.220.222.397,-4.586.078.203
261148,06/01/2020,2020,1,MG,381,549.6,sem obra,1,2,0,0,0,2,0,0,1,-2.031.815.092,-4.445.448.614
261171,06/01/2020,2020,1,MG,381,336,sem obra,5,2,0,1,0,1,0,1,1,-1.982.119.502,-4.307.407.899
261175,06/01/2020,2020,1,MG,381,630.8,sem obra,5,3,0,2,1,0,0,3,1,-2.084.702.065,-4.483.281.432
261192,06/01/2020,2020,1,MG,381,845,sem obra,5,3,0,3,0,0,0,3,1,-2.223.698.876,-4.587.928.703
261195,06/01/2020,2020,1,MG,381,853.2,sem obra,5,2,0,1,0,1,0,1,1,-2.226.844.632,-4.589.160.919
261309,07/01/2020,2020,1,MG,381,873.8,sem obra,5,1,0,1,0,0,0,1,1,-2.242.086.734,-459.656.167
261313,07/01/2020,2020,1,MG,381,369,sem obra,5,4,0,2,0,2,0,2,2,-1.985.129.538,-4.329.305.902
261364,07/01/2020,2020,1,MG,381,701.1,sem obra,5,2,0,1,0,1,0,1,1,-2.128.923.178,-4.514.706.592
261366,07/01/2020,2020,1,MG,381,435,sem obra,5,4,0,1,0,3,0,1,3,-1.980.010.099,-4.375.771.301
261370,07/01/2020,2020,1,MG,381,439,sem obra,5,1,0,1,0,0,0,1,1,-1.980.927.691,-4.378.706.001
261427,08/01/2020,2020,1,MG,381,869,sem obra,5,2,0,0,1,1,0,1,2,-2.238.363.855,-4.594.900.486
261445,08/01/2020,2020,1,MG,381,601.5,sem obra,5,2,0,1,0,1,0,1,2,-2.063.243.704,-4.473.521.221
261479,08/01/2020,2020,1,MG,381,482.3,sem obra,5,1,0,1,0,0,0,1,1,-19.955.532,-44.097.209
261497,08/01/2020,2020,1,MG,381,584,sem obra,1,3,0,0,0,3,0,0,3,-2.052.949.002,-4.463.874.994
261546,08/01/2020,2020,1,MG,381,711.4,sem obra,5,2,0,1,1,0,0,2,1,-2.139.313.978,-4.519.816.009
